Publisher,Keyword,Ad Group,Keyword Type,Clicks,Impressions,CTR,Avg CPC,Total Advertising Cost,Avg Position,Conversions,Revenue per Conversion,Total Revenue
Overture,fun games,Kid's Games,exact,245,3705,6.61%,0.38,91.92,1.78,14,117.54,1645.49
Overture,math games,Math Games,phrase,54,1775,3.04%,0.51,27.73,2.76,5,120.01,600.07
Overture,For kids games,Kid's Games,broad,70,1019,6.87%,0.25,17.35,2.53,6,100.42,602.54
Overture,kids games,Kid's Games,phrase,45,963,4.67%,0.21,9.31,3.52,5,114.84,574.21
Overture,www.games,Kid's Games,broad,5,465,1.08%,0.12,0.60,4.29,0,110.61,0.00
Overture,activities for kids,Kid's Games,broad,1,451,0.22%,0.29,0.29,5.81,0,85.31,0.00
Overture,games kids free,Kid's Games,broad,14,316,4.43%,0.28,3.89,3.36,7,99.97,699.80
Overture,Math for Kids Games,Math Games,broad,23,258,8.91%,0.36,8.38,1.50,3,102.41,307.23
Overture,math games online,Kid's Games,broad,12,243,4.94%,0.38,4.58,1.93,3,76.71,230.14
Overture,play games online for free,Kid's Games,broad,10,240,4.17%,0.45,4.48,2.28,1,116.61,116.61
Overture,Math kids games,Math Games,broad,12,211,5.69%,0.51,6.10,1.87,2,83.84,167.67
Overture,kids stuff,Kid's Games,broad,0,151,0.00%,0.00,0.00,9.70,0,82.91,0.00
Overture,computer games,Kid's Games,broad,1,126,0.79%,0.31,0.31,1.87,0,121.79,0.00
Overture,Math and Games,Math Games,broad,4,125,3.20%,0.52,2.09,2.64,1,119.50,119.50
Overture,kids games online,Kid's Games,broad,5,121,4.13%,0.25,1.25,2.29,1,124.54,124.54
Overture,kids game,Kid's Games,broad,4,121,3.31%,0.26,1.04,2.85,0,97.72,0.00
Overture,school games,Kid's Games,broad,4,97,4.12%,0.15,0.61,4.67,1,82.74,82.74
Overture,games activities,Kid's Games,broad,0,88,0.00%,0.00,0.00,7.10,0,95.91,0.00
Overture,online games kids,Kid's Games,broad,8,86,9.30%,0.23,1.87,2.91,0,97.49,0.00
Overture,google games,Kid's Games,exact,4,84,4.76%,0.20,0.79,4.35,1,117.81,117.81
Overture,fun game,Kid's Games,phrase,9,79,11.39%,0.38,3.44,2.15,1,101.86,101.86
Overture,cooking for kids games,Kid's Games,phrase,4,74,5.41%,0.34,1.34,1.82,1,119.49,119.49
Overture,boys games,Kid's Games,broad,0,73,0.00%,0.00,0.00,3.84,0,75.56,0.00
Overture,play games free online,Kid's Games,exact,4,73,5.48%,0.11,0.43,4.10,4,77.17,308.67
Overture,dinosaur games,Kid's Games,broad,1,66,1.52%,0.13,0.13,3.00,1,103.11,103.11
Overture,kids online game,Kid's Games,exact,3,59,5.08%,0.33,0.99,3.32,1,101.25,101.25
Overture,learning games,Kid's Games,broad,1,55,1.82%,0.12,0.12,5.15,0,106.34,0.00
Overture,fun games online,Kid's Games,broad,0,46,0.00%,0.00,0.00,3.59,0,84.47,0.00
Overture,free games for kids online,Kid's Games,broad,1,45,2.22%,0.19,0.19,3.29,0,89.72,0.00
Overture,games for boys,Kid's Games,phrase,2,36,5.56%,0.22,0.45,2.67,2,121.66,243.31
Overture,kids online games,Kid's Games,phrase,3,32,9.38%,0.21,0.63,3.97,1,89.30,89.30
Overture,all games,Kid's Games,exact,2,31,6.45%,0.14,0.27,4.61,0,123.59,0.00
Overture,fun maths games,Math Games,broad,0,31,0.00%,0.00,0.00,1.68,0,84.62,0.00
Overture,learning for kids games,Kid's Games,broad,0,28,0.00%,0.00,0.00,2.96,0,92.21,0.00
Overture,fun math games,Kid's Games,phrase,0,27,0.00%,0.00,0.00,4.04,0,83.86,0.00
Overture,easy games,Kid's Games,broad,0,23,0.00%,0.00,0.00,4.74,0,94.84,0.00
Overture,play kids games,Kid's Games,exact,1,23,4.35%,0.30,0.30,4.13,0,84.85,0.00
Overture,online for kids games,Kid's Games,broad,0,22,0.00%,0.00,0.00,5.45,0,124.89,0.00
Overture,kid games,Kid's Games,broad,1,20,5.00%,0.17,0.17,4.45,0,123.71,0.00
Overture,childrens games,Kid's Games,exact,1,17,5.88%,0.25,0.25,3.65,0,99.83,0.00
Overture,games kids online,Kid's Games,exact,0,15,0.00%,0.00,0.00,3.27,0,76.37,0.00
Overture,fun games for kids,Kid's Games,broad,0,12,0.00%,0.00,0.00,3.92,0,115.68,0.00
Overture,kids math,Math Games,broad,0,12,0.00%,0.00,0.00,6.92,0,115.96,0.00
Overture,boys games for kids,Kid's Games,exact,1,11,9.09%,0.05,0.05,5.64,1,109.38,109.38
Overture,websites for kids,Kid's Games,exact,1,10,10.00%,0.17,0.17,5.80,0,115.09,0.00
Overture,party games for kids,Kid's Games,phrase,0,10,0.00%,0.00,0.00,2.90,0,97.80,0.00
Overture,learning and playing,Kid's Games,exact,0,10,0.00%,0.00,0.00,2.90,0,103.77,0.00
Overture,science for kids games,Kid's Games,phrase,0,9,0.00%,0.00,0.00,4.44,0,88.81,0.00
Overture,maths for kids games,Math Games,broad,1,7,14.29%,0.19,0.19,1.14,0,106.48,0.00
Overture,games war,War Games,broad,6,289,2.08%,0.37,2.22,2.69,0,93.23,0.00
Overture,Battleship,Battleship,broad,0,167,0.00%,0.00,0.00,2.35,0,108.88,0.00
